,date,stores,store_id,total signals,unique visitors
0,01/04/2021,McDonald's,place_1,1,1
1,01/06/2021,McDonald's,place_1,1,1
2,01/08/2021,McDonald's,place_1,1,1
3,01/12/2021,McDonald's,place_1,2,1
4,01/16/2021,McDonald's,place_1,1,1
5,01/17/2021,McDonald's,place_1,1,1
6,01/05/2021,McDonald's,place_2,2,2
7,01/06/2021,McDonald's,place_2,1,1
8,01/15/2021,McDonald's,place_2,1,1
9,01/16/2021,McDonald's,place_2,1,1
10,01/20/2021,McDonald's,place_2,2,2
11,01/01/2021,McDonald's,place_3,2,1
12,01/02/2021,McDonald's,place_3,2,1
13,01/06/2021,McDonald's,place_3,1,1
14,01/08/2021,McDonald's,place_3,5,3
15,01/09/2021,McDonald's,place_3,1,1
16,01/15/2021,McDonald's,place_3,5,1
17,01/17/2021,McDonald's,place_3,2,1
18,01/20/2021,McDonald's,place_3,1,1
19,01/21/2021,McDonald's,place_3,1,1
20,01/04/2021,McDonald's,place_4,2,2
21,01/05/2021,McDonald's,place_4,2,1
22,01/06/2021,McDonald's,place_4,3,1
23,01/11/2021,McDonald's,place_4,1,1
24,01/14/2021,McDonald's,place_4,3,1
25,01/18/2021,McDonald's,place_4,2,1
26,01/21/2021,McDonald's,place_4,4,1
27,01/05/2021,McDonald's,place_5,1,1
28,01/06/2021,McDonald's,place_5,1,1
29,01/07/2021,McDonald's,place_5,2,1
30,01/11/2021,McDonald's,place_5,1,1
31,01/15/2021,McDonald's,place_5,1,1
32,01/04/2021,McDonald's,place_6,1,1
33,01/12/2021,McDonald's,place_6,1,1
34,01/14/2021,McDonald's,place_6,1,1
35,01/02/2021,McDonald's,place_8,1,1
36,01/08/2021,McDonald's,place_8,1,1
37,01/09/2021,McDonald's,place_8,2,1
38,01/17/2021,McDonald's,place_8,3,1
39,01/18/2021,McDonald's,place_8,2,1
40,01/19/2021,McDonald's,place_8,2,1
41,01/20/2021,McDonald's,place_8,2,2
42,01/03/2021,McDonald's,place_10,1,1
43,01/15/2021,McDonald's,place_10,1,1
44,01/17/2021,McDonald's,place_10,1,1
45,01/02/2021,McDonald's,place_13,2,1
46,01/05/2021,McDonald's,place_13,1,1
47,01/06/2021,McDonald's,place_13,1,1
48,01/10/2021,McDonald's,place_13,3,1
49,01/12/2021,McDonald's,place_13,2,1
50,01/18/2021,McDonald's,place_13,2,1
51,01/09/2021,McDonald's,place_14,1,1
52,01/11/2021,McDonald's,place_14,2,1
53,01/13/2021,McDonald's,place_14,3,1
54,01/17/2021,McDonald's,place_14,1,1
55,01/05/2021,McDonald's,place_15,1,1
56,01/08/2021,McDonald's,place_15,3,1
57,01/10/2021,McDonald's,place_15,1,1
58,01/11/2021,McDonald's,place_15,2,1
59,01/13/2021,McDonald's,place_15,1,1
60,01/14/2021,McDonald's,place_15,1,1
61,01/15/2021,McDonald's,place_15,3,1
62,01/18/2021,McDonald's,place_15,3,2
63,01/01/2021,McDonald's,place_17,1,1
64,01/16/2021,McDonald's,place_17,2,1
65,01/01/2021,McDonald's,place_18,1,1
66,01/15/2021,McDonald's,place_18,2,1
67,01/16/2021,McDonald's,place_18,1,1
68,01/19/2021,McDonald's,place_18,1,1
69,01/08/2021,McDonald's,place_19,1,1
70,01/10/2021,McDonald's,place_20,4,2
71,01/17/2021,McDonald's,place_20,2,1
72,01/10/2021,McDonald's,place_22,1,1
73,01/12/2021,McDonald's,place_22,4,2
74,01/13/2021,McDonald's,place_22,1,1
75,01/19/2021,McDonald's,place_22,2,1
76,01/13/2021,McDonald's,place_23,1,1
77,01/14/2021,McDonald's,place_23,1,1
78,01/15/2021,McDonald's,place_23,2,1
79,01/21/2021,McDonald's,place_23,1,1
80,01/01/2021,McDonald's,place_25,2,2
81,01/09/2021,McDonald's,place_25,1,1
82,01/10/2021,McDonald's,place_25,1,1
83,01/14/2021,McDonald's,place_25,2,2
84,01/01/2021,McDonald's,place_26,1,1
85,01/05/2021,McDonald's,place_26,2,2
86,01/09/2021,McDonald's,place_26,1,1
87,01/11/2021,McDonald's,place_26,1,1
88,01/15/2021,McDonald's,place_26,1,1
89,01/18/2021,McDonald's,place_26,1,1
90,01/04/2021,McDonald's,place_27,1,1
91,01/09/2021,McDonald's,place_27,1,1
92,01/01/2021,McDonald's,place_28,1,1
93,01/04/2021,McDonald's,place_28,1,1
94,01/05/2021,McDonald's,place_28,2,2
95,01/07/2021,McDonald's,place_28,1,1
96,01/11/2021,McDonald's,place_28,1,1
97,01/15/2021,McDonald's,place_28,1,1
98,01/18/2021,McDonald's,place_28,1,1
99,01/01/2021,McDonald's,place_29,1,1
100,01/06/2021,McDonald's,place_29,1,1
101,01/13/2021,McDonald's,place_29,3,2
102,01/15/2021,McDonald's,place_29,1,1
103,01/20/2021,McDonald's,place_29,1,1
104,01/21/2021,McDonald's,place_29,1,1
105,01/01/2021,McDonald's,place_31,3,2
106,01/13/2021,McDonald's,place_31,1,1
107,01/18/2021,McDonald's,place_31,1,1
108,01/19/2021,McDonald's,place_31,1,1
109,01/09/2021,McDonald's,place_32,2,1
110,01/11/2021,McDonald's,place_32,3,3
111,01/15/2021,McDonald's,place_32,1,1
112,01/02/2021,McDonald's,place_33,1,1
113,01/04/2021,McDonald's,place_33,1,1
114,01/05/2021,McDonald's,place_33,1,1
115,01/12/2021,McDonald's,place_33,1,1
116,01/13/2021,McDonald's,place_33,1,1
117,01/14/2021,McDonald's,place_33,1,1
118,01/15/2021,McDonald's,place_33,1,1
119,01/04/2021,Burger King,place_35,1,1
120,01/08/2021,Burger King,place_35,1,1
121,01/14/2021,Burger King,place_35,1,1
122,01/19/2021,Burger King,place_35,1,1
123,01/18/2021,Burger King,place_37,3,3
124,01/02/2021,Burger King,place_38,1,1
